Date,Open,High,Low,Close,Volume
08/02/2021,"162.00","163.59","155.06","157.65","2,532,931"
07/30/2021,"165.00","167.22","158.87","161.12","2,377,118"
07/29/2021,"170.60","173.89","164.51","164.86","2,239,995"
07/28/2021,"175.72","177.12","164.27","169.12","4,100,845"
07/27/2021,"183.00","185.00","176.66","178.54","1,214,775"
07/26/2021,"180.36","186.04","178.76","183.94","1,260,593"
07/23/2021,"181.00","181.60","173.84","180.36","1,316,168"
07/22/2021,"185.30","187.69","176.15","178.85","1,412,988"
07/21/2021,"187.79","195.51","182.11","185.81","2,229,184"
07/20/2021,"173.90","193.64","172.42","191.18","3,101,090"
07/19/2021,"163.30","176.00","161.22","173.49","2,436,934"
07/16/2021,"170.15","179.47","166.30","169.04","3,287,929"
07/15/2021,"160.00","171.99","158.01","166.82","4,298,589"
07/14/2021,"180.49","182.38","165.07","167.62","3,913,770"
07/13/2021,"187.68","188.79","179.00","180.06","2,397,944"
07/12/2021,"191.42","197.75","187.42","189.25","1,636,324"
07/09/2021,"190.88","194.78","186.75","191.23","1,582,925"
07/08/2021,"179.83","194.22","179.50","191.38","2,857,514"
07/07/2021,"196.00","197.50","177.56","190.66","4,239,500"
07/06/2021,"204.00","204.77","193.71","199.56","2,768,062"
07/02/2021,"204.80","205.45","196.50","202.83","2,602,729"
07/01/2021,"213.40","216.83","202.00","204.36","2,742,112"
06/30/2021,"209.69","215.28","206.94","214.14","2,539,648"
06/29/2021,"213.59","215.22","208.01","210.88","2,480,009"
06/28/2021,"211.25","224.45","210.20","213.25","4,879,364"
06/25/2021,"214.00","214.20","198.50","209.51","12,692,750"
06/24/2021,"221.16","227.45","211.60","212.31","3,863,339"
06/23/2021,"221.45","222.57","214.12","219.34","3,555,090"
06/22/2021,"217.73","225.88","209.17","220.40","8,200,177"
06/21/2021,"216.95","218.40","197.00","200.37","5,120,186"
06/18/2021,"220.18","223.49","213.00","213.82","4,320,317"
06/17/2021,"224.00","233.66","221.48","223.59","4,608,573"
06/16/2021,"215.24","228.73","209.00","222.97","5,564,827"
06/15/2021,"226.36","229.25","208.00","222.50","7,301,935"
06/14/2021,"236.50","238.01","219.20","229.44","7,132,627"
06/11/2021,"222.35","241.13","206.13","233.34","15,580,770"
06/10/2021,"282.00","288.00","211.00","220.39","22,980,150"
06/09/2021,"303.12","328.00","291.51","302.56","13,429,310"
06/08/2021,"292.00","344.66","281.00","300.00","17,439,119"
06/07/2021,"258.00","282.00","255.20","280.01","6,051,490"
06/04/2021,"256.02","265.00","245.77","248.36","3,637,515"
06/03/2021,"265.71","274.43","242.12","258.18","7,999,955"
06/02/2021,"248.88","294.00","244.30","282.24","16,019,220"
06/01/2021,"233.48","254.98","227.07","249.02","9,625,610"
05/28/2021,"262.97","268.80","221.43","222.00","11,751,370"
05/27/2021,"229.80","264.00","227.00","254.13","15,526,300"
05/26/2021,"229.00","248.48","225.55","242.56","21,119,869"
05/25/2021,"181.00","217.11","181.00","209.43","14,887,460"
05/24/2021,"175.85","188.46","173.35","180.01","4,664,348"
05/21/2021,"171.00","179.24","170.33","176.79","3,654,683"
05/20/2021,"170.79","174.91","166.90","170.49","2,478,168"
05/19/2021,"171.99","178.98","164.15","168.83","4,825,905"
05/18/2021,"174.54","189.20","168.27","180.67","7,738,717"
05/17/2021,"159.85","182.50","159.00","180.60","7,372,763"
05/14/2021,"160.00","166.47","156.22","159.92","4,293,530"
05/13/2021,"147.44","169.95","146.43","164.50","8,873,487"
05/12/2021,"145.70","150.50","142.23","144.79","2,731,510"
05/11/2021,"137.00","150.50","136.50","146.92","4,684,584"
05/10/2021,"161.31","161.59","143.00","143.22","4,806,685"
05/07/2021,"160.11","167.41","157.50","161.11","2,934,624"
05/06/2021,"160.86","164.72","155.60","161.01","2,942,802"
05/05/2021,"161.83","165.50","158.33","159.48","2,805,409"
05/04/2021,"159.00","161.49","151.80","160.73","4,007,512"
05/03/2021,"177.49","177.49","159.61","162.20","5,261,019"
04/30/2021,"175.00","183.80","172.70","173.59","4,433,565"
04/29/2021,"176.56","180.86","170.75","176.19","3,760,250"
04/28/2021,"172.10","181.98","166.03","178.58","5,788,938"
04/27/2021,"183.55","188.00","173.17","177.77","8,932,718"
04/26/2021,"150.98","174.68","148.76","168.93","10,532,110"
04/23/2021,"149.00","153.66","144.70","151.18","4,042,057"
04/22/2021,"159.10","159.10","146.86","151.17","4,345,809"
04/21/2021,"158.40","162.98","155.92","158.51","3,812,845"
04/20/2021,"164.14","164.89","153.36","158.53","4,658,608"
04/19/2021,"171.80","175.20","162.33","164.37","10,520,210"
04/16/2021,"156.00","160.20","151.25","154.69","5,214,710"
04/15/2021,"163.00","166.25","152.80","156.44","7,856,780"
04/14/2021,"143.57","174.09","143.00","166.53","21,138,141"
04/13/2021,"141.88","145.38","132.00","140.99","6,806,868"
04/12/2021,"158.11","163.90","135.01","141.09","16,683,600"
04/09/2021,"169.70","171.58","153.00","158.36","9,462,380"
04/08/2021,"185.88","185.88","164.30","170.26","10,047,390"
04/07/2021,"183.22","184.50","176.11","177.97","4,768,261"
04/06/2021,"185.21","192.00","183.56","184.50","6,218,318"
04/05/2021,"171.00","195.00","164.81","186.95","14,070,490"
04/01/2021,"193.36","196.97","183.60","191.45","9,334,345"
03/31/2021,"197.50","199.46","187.11","189.82","8,393,834"
03/30/2021,"187.50","204.30","182.00","194.46","17,094,920"
03/29/2021,"180.75","193.92","173.51","181.30","10,042,180"
03/26/2021,"197.68","218.93","163.26","181.00","37,430,672"
03/25/2021,"123.49","187.50","116.90","183.75","50,962,340"
03/24/2021,"157.98","166.97","118.62","120.34","24,177,881"
03/23/2021,"197.50","201.75","177.55","181.75","14,429,150"
03/22/2021,"205.26","210.36","186.20","194.49","10,061,510"
03/19/2021,"195.73","227.00","182.66","200.27","24,677,301"
03/18/2021,"214.00","218.88","195.65","201.75","11,799,910"
03/17/2021,"217.84","231.47","204.00","209.81","16,481,590"
03/16/2021,"203.16","220.70","172.35","208.17","35,422,871"
03/15/2021,"277.52","283.00","206.00","220.14","24,226,189"
03/12/2021,"275.00","295.50","262.27","264.50","25,845,900"
03/11/2021,"241.64","281.50","232.60","260.00","28,312,490"
03/10/2021,"269.43","348.50","172.00","265.00","71,570,570"
03/09/2021,"217.71","249.85","208.51","246.90","39,099,328"
03/08/2021,"154.89","210.87","146.10","194.50","63,565,621"
03/05/2021,"128.17","151.53","127.50","137.74","30,733,670"
03/04/2021,"125.00","147.87","115.30","132.35","32,606,891"
03/03/2021,"122.51","127.75","113.12","124.18","19,273,881"
03/02/2021,"116.93","133.20","112.20","118.18","33,783,039"
03/01/2021,"104.54","133.99","99.97","120.40","49,793,969"
02/26/2021,"117.46","142.90","86.00","101.74","92,194,148"
02/25/2021,"169.56","184.68","101.00","108.73","150,308,797"
02/24/2021,"44.70","91.71","44.70","91.71","83,111,742"
02/23/2021,"44.97","46.23","40.00","44.97","7,565,215"
02/22/2021,"46.69","48.51","42.40","46.00","19,476,020"
02/19/2021,"41.28","43.89","38.50","40.59","14,828,240"
02/18/2021,"48.49","48.87","40.65","40.69","23,990,561"
02/17/2021,"49.77","51.19","44.56","45.94","9,260,795"
02/16/2021,"52.66","53.50","49.04","49.51","8,175,030"
02/12/2021,"50.75","55.24","48.05","52.40","14,573,260"
02/11/2021,"50.01","55.32","48.22","51.10","13,056,730"
02/10/2021,"50.77","62.83","46.55","51.20","36,455,039"
02/09/2021,"56.61","57.00","46.52","50.31","26,843,080"
02/08/2021,"72.41","72.66","58.02","60.00","25,687,279"
02/05/2021,"54.04","95.00","51.09","63.77","81,345,008"
02/04/2021,"91.19","91.50","53.33","53.50","62,427,281"
02/03/2021,"112.01","113.40","85.25","92.41","42,698,512"
02/02/2021,"140.76","158.00","74.22","90.00","78,183,070"
02/01/2021,"316.56","322.00","212.00","225.00","37,382,152"
01/29/2021,"379.71","413.98","250.00","325.00","50,566,059"
01/28/2021,"265.00","483.00","112.25","193.60","58,815,809"
01/27/2021,"354.83","380.00","249.00","347.51","93,396,672"
01/26/2021,"88.56","150.00","80.20","147.98","178,588,000"
01/25/2021,"96.73","159.18","61.13","76.79","177,874,000"
01/22/2021,"42.59","76.76","42.32","65.01","197,157,906"
01/21/2021,"39.23","44.75","37.00","43.03","57,079,754"
01/20/2021,"37.37","41.19","36.06","39.12","33,471,789"
01/19/2021,"41.55","45.52","36.64","39.36","74,721,922"
01/15/2021,"38.49","40.75","34.01","35.50","46,866,359"
01/14/2021,"38.09","43.06","33.05","39.91","93,717,406"
01/13/2021,"20.42","38.65","20.03","31.40","144,501,703"
01/12/2021,"19.96","20.40","19.32","19.95","7,060,665"
01/11/2021,"19.41","20.65","19.01","19.94","14,927,610"
01/08/2021,"18.18","18.30","17.08","17.69","6,481,960"
01/07/2021,"18.47","19.45","18.02","18.08","6,129,276"
01/06/2021,"17.34","18.98","17.33","18.36","6,056,248"
01/05/2021,"17.35","18.08","17.23","17.37","4,961,457"
01/04/2021,"19.00","19.10","17.15","17.25","10,022,470"
12/31/2020,"19.25","19.80","18.80","18.84","6,922,652"
12/30/2020,"19.38","20.00","18.85","19.26","5,934,391"
12/29/2020,"20.82","21.07","18.56","19.38","9,241,441"
12/28/2020,"21.31","21.97","20.35","20.99","8,965,858"
12/24/2020,"21.01","21.48","19.95","20.15","6,262,174"
12/23/2020,"20.17","22.35","19.13","20.57","25,830,260"
12/22/2020,"16.22","20.04","16.15","19.46","30,687,721"
12/21/2020,"15.81","16.35","15.28","15.53","9,876,128"
12/18/2020,"15.78","16.30","15.18","15.63","16,618,779"
12/17/2020,"13.96","14.98","13.59","14.83","8,194,902"
12/16/2020,"13.96","14.31","13.58","13.85","5,865,123"
12/15/2020,"12.78","14.02","12.48","13.85","8,192,856"
12/14/2020,"13.34","13.43","12.14","12.72","10,007,090"
12/11/2020,"13.91","14.00","13.02","13.31","7,496,868"
12/10/2020,"13.12","14.41","13.05","14.12","7,558,922"
12/09/2020,"13.92","14.73","13.23","13.66","24,357,939"
12/08/2020,"16.37","17.21","15.93","16.94","16,120,160"
12/07/2020,"17.00","17.50","16.22","16.35","7,386,258"
12/04/2020,"16.30","17.29","16.26","16.90","8,972,672"
12/03/2020,"16.48","16.64","15.87","16.12","6,294,965"
12/02/2020,"15.70","16.68","15.38","16.58","7,883,380"
12/01/2020,"17.11","17.40","15.76","15.80","12,666,030"
11/30/2020,"18.17","19.42","16.56","16.56","31,983,500"
11/27/2020,"15.29","16.74","14.88","16.08","12,504,200"
11/25/2020,"13.60","15.25","13.42","14.75","8,860,092"
11/24/2020,"14.23","14.26","13.30","13.67","7,186,710"
11/23/2020,"12.90","14.12","12.67","13.90","9,607,973"
11/20/2020,"12.55","13.46","12.54","12.71","8,402,347"
11/19/2020,"11.60","12.79","11.45","12.46","11,787,610"
11/18/2020,"11.80","12.04","11.56","11.57","3,169,222"
11/17/2020,"11.65","11.92","11.23","11.63","6,678,176"
11/16/2020,"11.16","12.66","10.72","12.06","9,774,824"
11/13/2020,"11.36","11.55","11.00","11.01","3,546,171"
11/12/2020,"11.74","11.87","10.97","11.13","4,355,892"
11/11/2020,"11.50","11.95","11.21","11.75","4,882,569"
